title,company,location,count,Job,JobType
Data Scientist,"Noise Consulting Group, Inc","Saint Charles, MO",1,Job_169,Junior
Data Scientist - 30 hours per week,JOIN Inc.,"Carson City, NV",1,Job_170,Junior
Sr. Data Scientist,IXIS Digital,"Burlington, VT",1,Job_171,Senior
Senior Data Scientist - Experimental Design,Allstate,"Charlotte, NC",1,Job_172,Senior
Senior Data Scientist,Mission Lane,"Richmond, VA",1,Job_173,Senior
Data Scientist - IoT (Chicago),Relayr,"Chicago, IL",1,Job_174,Junior
Data Scientist (Database Administrator),"Orange County Government, Florida","Orlando, FL",1,Job_175,Junior
Data Scientist,Booz Allen Hamilton,"Arlington, VA",1,Job_176,Junior
Data Scientist,"Amazon Web Services, Inc.","Baltimore, MD",1,Job_177,Junior
"Data Scientist, Mid",Booz Allen Hamilton,"San Diego, CA",1,Job_178,Junior
Jr. Data Scientist- Data Science Development Program,MassMutual,"Amherst, MA",1,Job_179,Junior
Data Scientist,TechMileage Software Solutions,"Long Beach, CA",1,Job_180,Junior
"Data Scientist, Intern (2020)",Duolingo,"Pittsburgh, PA",1,Job_181,Entry
Data Scientist,Desh Technology Inc.,"New York, NY",1,Job_182,Junior
Data Scientist,4th-IR,"New York, NY",1,Job_183,Junior
Data Scientist,"Amazon.com Services, Inc.","Austin, TX",1,Job_184,Junior
Data Scientist,Booz Allen Hamilton,"Washington, DC",1,Job_185,Junior
Data Scientist Intern - Pricing Strategy and Analytics,HP,"San Diego, CA",1,Job_186,Entry
Data Analyst / Data Scientist,Ace-stack LLC,"San Jose, CA",1,Job_187,Junior
Data Scientist,Beyond Outsourcing Inc.,"Atlanta, GA",1,Job_188,Junior
Data Scientist,Change Research,"Palo Alto, CA",1,Job_189,Junior
Data Scientist,Qualia Investments,"New York, NY",1,Job_190,Junior
Data Scientist,Blue Owl,"San Francisco, CA",1,Job_191,Junior
Geo-spatial Data Scientist,State of South Carolina,"Columbia, SC",1,Job_192,Junior
Senior Data Scientist,Discovery,"Sterling, VA",1,Job_193,Senior
Data Scientist - (Brickell),Reef Kitchens,"Miami, FL",1,Job_194,Junior
"Senior Director, Data Scientist - Client Operations",W2O,"New York, NY",1,Job_195,Senior
NASA SMAEC Data Scientist,SAIC,"Houston, TX",1,Job_196,Junior
Biostatistician/Data Scientist,Gateway Institute for Brain Research,"Davie, FL",1,Job_197,Junior
Data Scientist (2 opportunities) Georgetown University's Sch...,Georgetown University,"Washington, DC",1,Job_198,Junior
Data Scientist,Tier2Tek,"Denver, CO",1,Job_199,Junior
Data Scientist,US Department of Justice,"Washington, DC",1,Job_200,Junior
Data Scientist,Metronome LLC,"Vienna, VA",1,Job_201,Junior
Data Scientist/Machine Learning Expert - FT,SphereOI Studios,"McLean, VA",1,Job_202,Junior
Genomic Data Scientist,GSK,"Collegeville, PA",1,Job_203,Junior
Data Scientist,Perspecta,"Washington, DC",1,Job_204,Junior
Associate Data Scientist (BS / MS),ExxonMobil,"Spring, TX",1,Job_205,Junior
Data Scientist,Equinox Consulting Partners LLC,"Richmond, VA",1,Job_206,Junior
Data Scientist,Saama Technologies Inc,"West, TX",1,Job_207,Junior
Data Scientist 2,Battelle,"Columbus, OH",1,Job_208,Junior
Big Data Engineer,Warner Bros Careers,"Atlanta, GA",1,Job_209,Junior
Data Scientist,PrecisionLender,"Charlotte, NC",1,Job_210,Junior
Machine Learning Developer / Data Scientist,Ellucian,"Reston, VA",1,Job_211,Junior
Data Scientist I,Sierra Nevada Corporation,"Herndon, VA",1,Job_212,Junior
Data Scientist (Database Administrator),Orange County Government,"Orlando, FL",1,Job_213,Junior
Data Scientist,Inspire Brands,"Atlanta, GA",1,Job_214,Junior
Data Scientist,Physera,NA,1,Job_215,Junior
"Data Scientist, Analytics, Intern",Facebook,"New York, NY",1,Job_216,Entry
Junior Data Scientist - Client Technical Specialist,IBM,"Austin, TX",1,Job_217,Junior
2020 PhD University Graduate - Data Scientist - Uber Eats (N...,Uber,"New York, NY",1,Job_218,Junior
Jr. Data Scientist,Deloitte,"Arlington, VA",1,Job_219,Junior
Data Scientist,National Security Agency,"Fort Meade, MD",1,Job_220,Junior
Data Scientist I,GovStrive LLC,"Atlanta, GA",1,Job_221,Junior
Data Scientist,Nespon IT Services,"Farmers Branch, TX",1,Job_222,Junior
Data Scientist,RISIRISA,"New York, NY",1,Job_223,Junior
Data Scientist,Callidus Inc,"Pennington, NJ",1,Job_224,Junior
Data Scientist,Proofpoint,"Sunnyvale, CA",1,Job_225,Junior
Data Scientist,Lenovo,"Morrisville, NC",1,Job_226,Junior
Junior Data Scientist,Logistics Management Institute,"Tysons, VA",1,Job_227,Junior
Data Scientist,Smartling,"New York, NY",1,Job_228,Junior
Data Scientist Stf,LOCKHEED MARTIN CORPORATION,"Fort Worth, TX",1,Job_229,Junior
SENIOR DATA SCIENTIST,IXIS,"Burlington, VT",1,Job_230,Senior
Sr. Data Scientist,Red Berry Innovations,"Omaha, NE",1,Job_231,Senior
2020 Intern - Data Scientist,IBM,NA,1,Job_232,Entry
Jr. Data Scientist,Shutterfly,"Redwood City, CA",1,Job_233,Junior
AvMed Junior Data Scientist,AvMed Health Plans,"Gainesville, FL",1,Job_234,Junior
Graduate Studies Program - Data Scientist,Central Intelligence Agency,"Washington, DC",1,Job_235,Junior
"Data Scientist, Basketball Integrity",the NBA,"New York, NY",1,Job_236,Junior
"Data Scientist, Operations Decision Science",Delta Air Lines,"Atlanta, GA",1,Job_237,Junior
